id,amount,status,created_at,updated_at,user_id,moderated_at,deleted_account_id,reimbursement_date,cash_request_received_date,money_back_date,transfer_type,send_at,recovery_status,reco_creation,reco_last_update
11989,100.0,money_back,11/08/2020,18/12/2020,14291.0,,,,20/08/2020,08/09/2020,regular,18/08/2020,,,
7121,100.0,money_back,08/07/2020,18/12/2020,8247.0,08/07/2020,,,10/07/2020,,regular,,,,
7692,100.0,money_back,12/07/2020,18/12/2020,31530.0,12/07/2020,,06/08/2020,13/07/2020,,regular,,,,
4199,100.0,money_back,19/06/2020,18/12/2020,8589.0,19/06/2020,,,23/06/2020,,regular,,,,
4051,100.0,money_back,18/06/2020,18/12/2020,17190.0,19/06/2020,,,23/06/2020,,regular,,,,
4999,50.0,money_back,24/06/2020,18/12/2020,21367.0,25/06/2020,,,27/06/2020,14/07/2020,regular,,,,
8489,100.0,money_back,16/07/2020,18/12/2020,14978.0,17/07/2020,,,21/07/2020,,regular,,,,
8601,100.0,money_back,17/07/2020,18/12/2020,15811.0,17/07/2020,,,20/07/2020,,regular,,,,
6371,100.0,money_back,03/07/2020,18/12/2020,8705.0,03/07/2020,,,06/07/2020,,regular,,,,
4200,100.0,money_back,19/06/2020,18/12/2020,17637.0,19/06/2020,,,23/06/2020,,regular,,,,
4326,100.0,money_back,20/06/2020,18/12/2020,9166.0,20/06/2020,,,23/06/2020,,regular,,,,
9295,100.0,money_back,21/07/2020,18/12/2020,8746.0,21/07/2020,,,23/07/2020,,regular,28/07/2020,,,
4980,100.0,money_back,24/06/2020,18/12/2020,13964.0,24/06/2020,,,25/06/2020,16/07/2020,regular,,,,
7868,100.0,money_back,13/07/2020,18/12/2020,32585.0,14/07/2020,,,15/07/2020,,regular,,,,
6890,100.0,money_back,07/07/2020,18/12/2020,19291.0,07/07/2020,,,09/07/2020,,regular,,,,
5811,100.0,money_back,29/06/2020,18/12/2020,,01/07/2020,3952.0,14/07/2020,03/07/2020,12/07/2020,regular,,,,
7101,100.0,money_back,08/07/2020,18/12/2020,18242.0,08/07/2020,,02/08/2020,09/07/2020,,regular,,,,
5499,100.0,money_back,26/06/2020,18/12/2020,22745.0,26/06/2020,,,30/06/2020,,regular,,,,
14659,80.0,money_back,05/09/2020,18/12/2020,36970.0,,,,08/09/2020,09/10/2020,instant,12/09/2020,,,
5959,100.0,money_back,30/06/2020,18/12/2020,12679.0,30/06/2020,,,01/07/2020,,regular,,,,
26349,90.0,money_back,30/10/2020,18/12/2020,99879.0,,,,31/10/2020,04/11/2020,instant,30/10/2020,,,
6902,100.0,money_back,07/07/2020,18/12/2020,22127.0,07/07/2020,,,09/07/2020,,regular,,,,
3719,100.0,money_back,17/06/2020,18/12/2020,16923.0,18/06/2020,,,20/06/2020,07/07/2020,regular,,,,
7902,100.0,money_back,14/07/2020,18/12/2020,16424.0,14/07/2020,,,16/07/2020,,regular,,,,
7971,100.0,money_back,14/07/2020,18/12/2020,21860.0,14/07/2020,,,16/07/2020,,regular,,,,
2782,100.0,money_back,09/06/2020,18/12/2020,13521.0,09/06/2020,,,11/06/2020,,regular,,,,
5016,100.0,money_back,24/06/2020,18/12/2020,19855.0,25/06/2020,,,26/06/2020,,regular,,,,
4266,100.0,money_back,19/06/2020,18/12/2020,16327.0,20/06/2020,,14/09/2020,23/06/2020,14/09/2020,regular,,,,
